"logFC"	"logCPM"	"PValue"	"FDR"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"MGAT3"	-0.43178978905881	7.75589337601292	1.34742567957233e-09	2.0871227474905e-07	TRUE	FALSE	FALSE
"CREB3L2"	-0.501291748496597	7.56610005185377	1.44144519320249e-09	2.21645871824844e-07	TRUE	FALSE	FALSE
"PHC1"	-0.454574622436078	8.52456007476271	1.68067651532459e-09	2.56182089918385e-07	TRUE	FALSE	FALSE
"DENND1A"	-0.461114558666669	7.4800809933167	1.69405773994468e-09	2.56182089918385e-07	TRUE	FALSE	FALSE
"UCA1"	-0.731066880669924	4.1370224825965	1.70252979153964e-09	2.56182089918385e-07	TRUE	FALSE	FALSE
"PSEN2"	0.732961670835671	3.06590744183525	1.8259804418142e-09	2.72809248136581e-07	TRUE	FALSE	FALSE
"GPRC5A"	-1.00188167019195	4.25621907972588	1.98285928481882e-09	2.94161364042205e-07	TRUE	FALSE	FALSE
"LDLRAD3"	-0.515620130191382	6.77946173412585	2.07013741707046e-09	3.04961642153891e-07	TRUE	FALSE	FALSE
"COTL1"	-0.543046728243105	8.5361379500731	2.17252261317204e-09	3.1782195395196e-07	TRUE	FALSE	FALSE
"HAS3"	-1.30267682196447	1.98594910055606	2.22853216134303e-09	3.23767300074844e-07	TRUE	TRUE	FALSE
"ATF3"	-0.542079587446868	6.19795032750139	2.51257140433661e-09	3.62533076738048e-07	TRUE	FALSE	FALSE
"TMEM141"	-0.46518812895304	6.21698221789792	2.6053687171579e-09	3.73365288405771e-07	TRUE	FALSE	FALSE
"NPPB"	-1.03132796987588	4.74669420977931	2.70364037274741e-09	3.84830324947952e-07	TRUE	FALSE	FALSE
"CDC42EP1"	-0.804002960373003	4.36308508675162	2.79458047952389e-09	3.95104915313088e-07	TRUE	FALSE	FALSE
"MTHFD1L"	-0.512081903370028	6.69323355932353	3.39394600078824e-09	4.76645776350701e-07	TRUE	FALSE	FALSE
"CLEC1A"	-0.723874090606994	5.33860427419973	3.54624412283217e-09	4.94736282725711e-07	TRUE	FALSE	FALSE
