"logFC"	"logCPM"	"PValue"	"FDR"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"MYOF"	-0.87579856397866	8.47571443389634	1.81051243193763e-43	2.59457516266653e-41	TRUE	FALSE	FALSE
"DGKD"	-0.894033694656308	5.82270961651209	2.63044721442805e-43	3.74412169048252e-41	TRUE	FALSE	FALSE
"IGSF9B"	-0.775034663993435	6.86349668969509	3.31118031814292e-43	4.68143117999992e-41	TRUE	FALSE	FALSE
"CTD-2535L24.2"	-1.01998667723582	5.56077349993087	3.85743725150965e-43	5.41738487602015e-41	TRUE	FALSE	FALSE
"FRMD4A"	-0.883586884454841	5.84728095700415	5.68600783830729e-43	7.9325457696544e-41	TRUE	FALSE	FALSE
"COTL1"	-0.857863204545256	8.5361379500731	8.19816986875922e-43	1.13620162141633e-40	TRUE	FALSE	FALSE
"NFIL3"	-0.992630170489222	7.40120824701492	1.2477500620575e-42	1.71798057564074e-40	TRUE	FALSE	FALSE
"NUPR1"	-1.06022884606459	5.25806985680246	3.56791650571532e-42	4.88063176035058e-40	TRUE	FALSE	FALSE
"ISM2"	-0.796838494848495	8.7436406654857	5.69642136706575e-42	7.74198790442626e-40	TRUE	FALSE	FALSE
"TSC22D3"	-1.02798282344619	4.18739447339114	7.04901598225923e-42	9.51888273604313e-40	TRUE	FALSE	FALSE
"TRAK1"	-0.672386852641527	7.59219195743264	8.18499769882256e-42	1.09824943645475e-39	TRUE	FALSE	FALSE
"GCN1"	-0.674566434019033	9.49821082332023	1.00420418252174e-41	1.33889653854449e-39	TRUE	FALSE	FALSE
"TMEM184A"	-0.911023548846716	4.40628025226268	1.12375573951512e-41	1.48887034016512e-39	TRUE	FALSE	FALSE
"ACAN"	-0.833023087645966	6.48291301981916	1.14712360877168e-41	1.51033162139901e-39	TRUE	FALSE	FALSE
"CD55"	-0.693653284397588	9.03221201210113	1.22702393172651e-41	1.60549603389755e-39	TRUE	FALSE	FALSE
"FER1L4"	-0.907344944293881	6.20357859456075	1.35060552630725e-41	1.75628740846843e-39	TRUE	FALSE	FALSE
"SLC15A2"	-1.59017495786211	3.01571013889165	1.40250687067846e-41	1.81258955446088e-39	TRUE	TRUE	TRUE
"OBSCN"	-0.720999954734127	7.29852437880536	1.52889471120916e-41	1.96388390160562e-39	TRUE	FALSE	FALSE
"KLF5"	-0.989378469214685	6.79627724196713	1.75409344362605e-41	2.23949893838948e-39	TRUE	FALSE	FALSE
"CDH5"	-0.747280120658822	8.19470307912023	2.12110120508301e-41	2.69175409555895e-39	TRUE	FALSE	FALSE
"PLEKHG6"	-0.680136260664024	7.64890041373709	2.73383821835822e-41	3.4485650244272e-39	TRUE	FALSE	FALSE
"SLC6A19"	-0.838913587394245	5.58852250583716	3.04685947813223e-41	3.82054415275795e-39	TRUE	FALSE	FALSE
"GRM4"	-0.73774525026946	6.44273964073053	3.23493950028025e-41	4.03238079958011e-39	TRUE	FALSE	FALSE
"TTL"	1.1247854082921	3.43561487440729	4.51389343603364e-41	5.59351053667557e-39	TRUE	FALSE	FALSE
"KLHL5"	-0.816807046518146	5.21978168189803	8.64021199342551e-41	1.0644134845234e-38	TRUE	FALSE	FALSE
"ACKR3"	-0.938845303695827	4.49563808874359	1.29461740033747e-40	1.58560524159937e-38	TRUE	FALSE	FALSE
"ALDH3B2"	-0.913013396971649	4.84809610155394	2.00945546203939e-40	2.44688952389143e-38	TRUE	FALSE	FALSE
