"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"IRF8"	-0.411500101945252	3.63650679305172	-5.82573194344987	1.41512797123496e-05	0.00227565540778898	3.3066187631588	TRUE	FALSE	FALSE
"FAM47E-STBD1"	-0.310230204402432	6.13387602792452	-5.84487923866275	1.35898541902403e-05	0.00222992174978914	3.26580176507664	TRUE	FALSE	FALSE
"HEY1"	-0.298465449690168	7.99518156541383	-5.85230756131933	1.33782547537228e-05	0.00222568096306138	3.23590473695818	TRUE	FALSE	FALSE
"CDYL2"	-0.287106354786598	5.98910679396554	-5.81711667311822	1.44116135188677e-05	0.00229996250294293	3.21290411669097	TRUE	FALSE	FALSE
"EDN2"	-0.691721200170493	1.03737446756954	-5.94578130959137	1.09873828810729e-05	0.00196152718451426	3.19770599533013	TRUE	FALSE	FALSE
"NFE2L3"	-0.309251725532826	7.76373624797497	-5.8305272515036	1.40084746992677e-05	0.00227001944626749	3.19681293452113	TRUE	FALSE	FALSE
"TRIP6"	-0.26315047454579	6.83689989299195	-5.81104834516076	1.45979341765248e-05	0.00231191861879367	3.17766031581744	TRUE	FALSE	FALSE
"HAPLN3"	-0.324819693049477	6.91218917942203	-5.80297817730744	1.484956022265e-05	0.00231191861879367	3.15477621859229	TRUE	FALSE	FALSE
"ANXA8L1"	-0.388221115332548	3.73512046755315	-5.7474676573701	1.67055509759814e-05	0.0024783037807044	3.14949106882393	TRUE	FALSE	FALSE
"ALDH2"	-0.249186718882746	7.5640607073761	-5.80241501555509	1.48672849582913e-05	0.00231191861879367	3.1436918430532	TRUE	FALSE	FALSE
"MYEOV"	-0.459197737890365	4.45355028095409	-5.74866299927704	1.66631729407211e-05	0.0024783037807044	3.12083416591979	TRUE	FALSE	FALSE
"KANK4"	-0.639515199966227	3.52052279104417	-5.72902725559727	1.73735179600729e-05	0.00253353663880396	3.11249387736794	TRUE	FALSE	FALSE
"LIN28A"	-0.290278097823537	6.06639902733005	-5.7591622121446	1.62956583165887e-05	0.00246967149710257	3.09334173049961	TRUE	FALSE	FALSE
"PPP1R15A"	-0.309776936252097	6.45219838350999	-5.76356513634167	1.61440254295642e-05	0.00246967149710257	3.08826152843607	TRUE	FALSE	FALSE
"RGL1"	-0.259514446034077	4.95868871968432	-5.73447824421661	1.71732593821548e-05	0.0025298733017096	3.08211267644605	TRUE	FALSE	FALSE
"GRAMD1B"	-0.349136721084876	4.50961068723477	-5.72726800055424	1.74386600506301e-05	0.00253353663880396	3.08178989353172	TRUE	FALSE	FALSE
