"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"CALHM2"	-1.21710290679573	4.88872506605252	-17.3245349851573	6.24281135047504e-13	1.58447064950732e-10	19.8859570226732	TRUE	TRUE	FALSE
"EPAS1"	-0.873272246654731	8.51985438267981	-17.3431169729985	6.12630913650373e-13	1.57386375938521e-10	19.8576309701705	TRUE	FALSE	FALSE
"SWAP70"	-0.793259881418067	6.69848801208206	-17.3013587569551	6.39138847732451e-13	1.60286892456331e-10	19.8422826486963	TRUE	FALSE	FALSE
"SH3BP4"	-0.907042521825619	7.25146083400584	-17.255732639708	6.69484732371535e-13	1.65921945554574e-10	19.7862088331682	TRUE	FALSE	FALSE
"FGD3"	-0.939691947388667	4.39404083347769	-17.0893716377089	7.93592386189521e-13	1.94393223342656e-10	19.6448243115148	TRUE	FALSE	FALSE
"AXIN2"	-0.798887538404755	7.7383094306822	-17.0633399818765	8.15102126774934e-13	1.97367142559089e-10	19.5791143218232	TRUE	FALSE	FALSE
"STK24"	-0.857183955020409	7.8083568523681	-17.0396365069433	8.35221105931058e-13	1.99940543381178e-10	19.5529444397518	TRUE	FALSE	FALSE
"UBASH3B"	-0.884515058462886	6.63652132626817	-16.9698553112077	8.97535913671045e-13	2.08535628308252e-10	19.5009720155935	TRUE	FALSE	FALSE
"FAM234A"	0.756594103724033	6.59569271616207	16.9661474510078	9.00980767555618e-13	2.08535628308252e-10	19.496385017459	TRUE	FALSE	FALSE
"SLC20A2"	-0.769717261660911	7.34883497425236	-16.9526335299808	9.13654138516273e-13	2.08535628308252e-10	19.4701277722941	TRUE	FALSE	FALSE
"FOXO1"	-0.985761849822951	5.40752128601336	-16.9018672625246	9.62961065382614e-13	2.13618514252232e-10	19.4534387274199	TRUE	FALSE	FALSE
"SLC2A1"	-0.938248162815738	11.2805545055065	-16.945287653426	9.20621543371663e-13	2.08535628308252e-10	19.4074043909919	TRUE	FALSE	FALSE
"COLQ"	-1.05749145150048	4.04790041151867	-16.8603223492923	1.00538966014476e-12	2.18924028324797e-10	19.393951487153	TRUE	FALSE	FALSE
"AKR1B1"	-0.801668803749639	9.3626314794552	-16.9014859449046	9.63341823505272e-13	2.13618514252232e-10	19.3836596287638	TRUE	FALSE	FALSE
"PICALM"	-0.787793111225431	8.61519221627095	-16.8577768415814	1.00805234726599e-12	2.18924028324797e-10	19.3492264589495	TRUE	FALSE	FALSE
"TMPRSS4"	-1.84547211606648	2.23730092152329	-17.4793117755002	5.33914668904142e-13	1.44198030963265e-10	19.3175660949227	TRUE	TRUE	TRUE
"GCN1"	-0.674609239610376	9.47706243881303	-16.8352920553684	1.03189639666043e-12	2.21815607061721e-10	19.3133575407833	TRUE	FALSE	FALSE
"FLT4"	-0.781280725125333	7.84783081644176	-16.8029653449966	1.06722068206826e-12	2.27091625135859e-10	19.3066703497802	TRUE	FALSE	FALSE
"MTHFD1L"	-0.912037120633296	6.65720413862478	-16.7621644684898	1.11362728928096e-12	2.34596724759927e-10	19.2831981955167	TRUE	FALSE	FALSE
"CDYL2"	-0.851808983186209	5.98910679396554	-16.6750549534843	1.21994346073349e-12	2.54448801423879e-10	19.2040508945869	TRUE	FALSE	FALSE
"LMO2"	-1.14417320152829	4.78318646708558	-16.5841756808982	1.34229503825813e-12	2.73972897444118e-10	19.1276113661806	TRUE	FALSE	FALSE
