"logFC"	"logCPM"	"PValue"	"FDR"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"CTC1"	0.568652705404588	5.11547768870775	1.03429064838127e-18	1.7910526406993e-16	TRUE	FALSE	FALSE
"STBD1"	-0.517515595210195	6.3081573021027	1.03725634750458e-18	1.7910526406993e-16	TRUE	FALSE	FALSE
"IQCJ-SCHIP1"	-0.553981715559328	5.0286686045059	1.38263993727105e-18	2.36802381451641e-16	TRUE	FALSE	FALSE
"DENND4B"	-0.462497117723251	5.67071485914334	1.53794361721221e-18	2.61276776130585e-16	TRUE	FALSE	FALSE
"TMEM106B"	0.511945621734101	5.46418182183254	1.58862021946146e-18	2.677269883454e-16	TRUE	FALSE	FALSE
"MGAT4A"	-0.531916481515189	7.17044377509784	2.08859907899195e-18	3.49193874587655e-16	TRUE	FALSE	FALSE
"AC079776.3"	-1.69434569415881	-0.0286774573455563	2.12730242906977e-18	3.52864196620346e-16	TRUE	TRUE	TRUE
"A2ML1"	-0.576265053136735	5.05206794982594	2.26973485445683e-18	3.73548706593652e-16	TRUE	FALSE	FALSE
"PROM2"	-0.42757491961678	6.95296941819142	4.46867698860311e-18	7.29745344510955e-16	TRUE	FALSE	FALSE
"DRAM1"	-0.459753167417111	5.54153654770423	5.42502405527133e-18	8.79104282679583e-16	TRUE	FALSE	FALSE
"TNNT3"	-0.684782297886333	4.30800823123095	8.79753047648047e-18	1.41472348868349e-15	TRUE	FALSE	FALSE
"ARL6IP5"	-0.409875765187571	6.85186048795577	9.13143554485741e-18	1.45729409990883e-15	TRUE	FALSE	FALSE
"LY6D"	-1.32529750499539	1.65002861662063	9.70622242699446e-18	1.53737805749673e-15	TRUE	TRUE	FALSE
"MKNK1"	0.473464827701624	5.33945027537285	1.06420664063246e-17	1.67302814116145e-15	TRUE	FALSE	FALSE
"LIF"	-0.611481646186192	4.05267287223969	1.14616571606648e-17	1.78852792404863e-15	TRUE	FALSE	FALSE
"GLB1L2"	-0.572790495557093	4.32185564403437	1.94328192987029e-17	3.0100865540182e-15	TRUE	FALSE	FALSE
"CNNM4"	0.521667022944172	5.87187658059056	1.98413854490489e-17	3.05093887496105e-15	TRUE	FALSE	FALSE
"LIFR"	-1.17028725346535	2.93908389543546	2.26460377647465e-17	3.45696689530544e-15	TRUE	FALSE	FALSE
