SYMBOL	CTRL_R1	CTRL_R2	CTRL_R3	DMSO	SMZ_R1	SMZ_R2	SMZ_R3	TMP_R1	TMP_R2	TMP_R3	CTX_R1	CTX_R2	CTX_R3
RP11-104N10.1	2.278912704	4.914278027	4.112787086	2.566672359	3.983361587	3.184844997	0.891274705	2.165392928	3.143549284	3.776341504	2.48649203	4.688364508	1.213344241
RP11-496D24.2	2.278912704	2.948566816	2.056393543	4.277787266	1.327787196	1.061614999	0.891274705	2.165392928	2.357661963	0.944085376	4.972984061	0.937672902	6.066721207
RP11-304L19.3	48.99662313	63.88561436	46.26885471	48.76677483	54.43927502	53.08074994	53.4764823	35.72898331	50.29678854	26.43439053	32.32439639	33.75622446	41.2537042
RP11-795F19.1	34.18369056	36.3656574	49.35344503	40.2112003	42.48919026	65.82012993	63.28050406	43.30785856	43.22380265	40.59567117	39.78387249	50.63433668	48.53376965
RP11-93O14.2	12.53401987	5.897133633	12.33836126	10.26668944	9.29451037	6.369689993	9.804021756	14.07505403	14.9318591	14.16128064	6.630645414	20.62880383	13.34678665
RP4-798A10.7	5.69728176	5.897133633	4.112787086	3.422229813	13.27787196	8.492919991	3.56509882	15.15775049	7.072985889	7.552683008	5.801814738	8.439056114	18.20016362
RP11-37C7.3	20.51021434	32.43423498	15.42295157	57.32234936	37.17804148	44.58782995	47.23755937	19.48853635	30.64960552	25.49030515	12.43246015	15.00276642	25.48022907
RP11-20I23.6	17.09184528	15.72568969	20.56393543	9.411131985	10.62229757	9.55453499	10.69529646	19.48853635	23.57661963	14.16128064	16.57661354	20.62880383	9.706753931
ADAMTS7P3	4.557825408	6.879989238	7.1973774	4.277787266	3.983361587	6.369689993	4.456373525	6.496178783	0.785887321	5.664512256	4.972984061	7.501383212	2.426688483
RP11-697E2.6	2366.650843	2377.52771	2546.843403	2558.972342	2975.571106	2505.411397	2677.389214	2882.137987	2646.08261	2875.684055	2519.645257	2499.835956	2544.382874
EPPK1	652.9084897	718.4674476	518.2111728	713.5349159	697.0882777	916.173744	841.3633216	769.7971858	711.2280255	742.0511056	677.9834936	717.3197697	804.447232
RP11-723O4.9	2.278912704	0.982855605	1.028196771	7.700017078	1.327787196	6.369689993	5.34764823	1.082696464	2.357661963	8.496768384	8.288306768	3.750691606	0
RP11-517B11.7	59.2517303	68.79989238	56.55082243	82.98907295	73.02829576	69.00497493	77.54089934	68.20987723	38.50847873	39.65158579	47.24334858	63.76175731	46.10708117
RP11-68I18.10	1.139456352	3.931422422	5.140983857	6.844459625	18.58902074	3.184844997	11.58657117	3.248089392	3.143549284	0	3.315322707	8.439056114	6.066721207
RP11-252A24.5	3.418369056	0	0	1.711114906	0	4.246459995	0	2.165392928	0.785887321	1.888170752	0	5.626037409	3.640032724
RP11-356C4.5	2.278912704	0	2.056393543	0	1.327787196	5.308074994	2.673824115	0	0	0	0	2.813018705	2.426688483
RP11-169E6.1	6.836738112	6.879989238	6.169180629	4.277787266	15.93344635	6.369689993	8.912747051	4.330785856	8.644760531	10.38493914	7.459476091	8.439056114	2.426688483
RP11-532F12.5	102.5510717	103.1998386	123.3836126	147.1558819	195.1847178	169.8583998	176.4723916	159.1563802	142.2456051	107.6257329	121.8381095	115.3337669	137.1078993
RP11-341N2.1	0	0	0	0	0	0	0	0	3.143549284	1.888170752	1.657661354	1.875345803	0
RP11-1007O24.2	5.69728176	3.931422422	2.056393543	8.555574531	6.638935978	5.308074994	4.456373525	1.082696464	3.929436605	12.27310989	4.144153384	7.501383212	2.426688483
CTA-445C9.14	143.5715003	190.6739875	161.4268931	201.9115589	150.0399531	177.2897048	110.5180634	156.9909873	190.1847317	199.2020143	141.7300457	161.2797391	156.5214071
