NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOCC_CORTICAL_ENDOPLASMIC_RETICULUM	6		Rejected!	
GOCC_CORTICAL_GRANULE	6		Rejected!	
GOCC_CORVET_COMPLEX	7		Rejected!	
GOCC_COSTAMERE	18	16		
GOCC_CRD_MEDIATED_MRNA_STABILITY_COMPLEX	6		Rejected!	
GOCC_CTF18_RFC_LIKE_COMPLEX	7		Rejected!	
GOCC_CUL2_RING_UBIQUITIN_LIGASE_COMPLEX	25	22		
GOCC_CUL3_RING_UBIQUITIN_LIGASE_COMPLEX	36	35		
GOCC_CUL4A_RING_E3_UBIQUITIN_LIGASE_COMPLEX	13		Rejected!	
GOCC_CUL4B_RING_E3_UBIQUITIN_LIGASE_COMPLEX	6		Rejected!	
GOCC_CUL4_RING_E3_UBIQUITIN_LIGASE_COMPLEX	37	32		
GOCC_CUL5_RING_UBIQUITIN_LIGASE_COMPLEX	9		Rejected!	
GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX	182	166		
GOCC_CUTICULAR_PLATE	8		Rejected!	
GOCC_CYCLIN_CDK_POSITIVE_TRANSCRIPTION_ELONGATION_FACTOR_COMPLEX	6		Rejected!	
GOCC_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX	54	53		
GOCC_CYTOCHROME_COMPLEX	42	37		
GOCC_CYTOLYTIC_GRANULE	13		Rejected!	
GOCC_CYTOPLASMIC_DYNEIN_COMPLEX	23	21		
GOCC_CYTOPLASMIC_EXOSOME_RNASE_COMPLEX	15	15		
GOCC_CYTOPLASMIC_MICROTUBULE	106	95		
GOCC_CYTOPLASMIC_REGION	292	246		
GOCC_CYTOPLASMIC_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE	16	15		
GOCC_CYTOPLASMIC_SIDE_OF_ENDOSOME_MEMBRANE	7		Rejected!	
GOCC_CYTOPLASMIC_SIDE_OF_LYSOSOMAL_MEMBRANE	14		Rejected!	
GOCC_CYTOPLASMIC_SIDE_OF_MEMBRANE	211	173		
GOCC_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE	173	140		
GOCC_CYTOPLASMIC_STRESS_GRANULE	89	83		
GOCC_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX	13		Rejected!	
GOCC_CYTOSKELETON_OF_PRESYNAPTIC_ACTIVE_ZONE	8		Rejected!	
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	60	58		
GOCC_CYTOSOLIC_REGION	20	16		
GOCC_CYTOSOLIC_RIBOSOME	118	114		
