NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOCC_HETEROTRIMERIC_G_PROTEIN_COMPLEX	26	21		
GOCC_PROTEASOME_REGULATORY_PARTICLE	19	19		
GOCC_PROTEASOME_CORE_COMPLEX	20	17		
GOCC_RIBOSOME	221	208		
GOCC_POLYSOME	67	63		
GOCC_MRNA_CLEAVAGE_AND_POLYADENYLATION_SPECIFICITY_FACTOR_COMPLEX	15	15		
GOCC_MRNA_CLEAVAGE_FACTOR_COMPLEX	19	19		
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_2_COMPLEX	5		Rejected!	
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_2B_COMPLEX	6		Rejected!	
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX	15	15		
GOCC_NASCENT_POLYPEPTIDE_ASSOCIATED_COMPLEX	5		Rejected!	
GOCC_AXONEMAL_DYNEIN_COMPLEX	22	19		
GOCC_MUSCLE_MYOSIN_COMPLEX	15		Rejected!	
GOCC_TROPONIN_COMPLEX	9		Rejected!	
GOCC_STRIATED_MUSCLE_THIN_FILAMENT	22	20		
GOCC_CYTOPLASMIC_DYNEIN_COMPLEX	23	21		
GOCC_DYNACTIN_COMPLEX	8		Rejected!	
GOCC_KINESIN_COMPLEX	47	43		
GOCC_MICROTUBULE	461	408		
GOCC_MICROTUBULE_ASSOCIATED_COMPLEX	156	140		
GOCC_SPINDLE_MICROTUBULE	81	81		
GOCC_AXONEMAL_MICROTUBULE	37	31		
GOCC_CYTOPLASMIC_MICROTUBULE	102	92		
GOCC_INTERMEDIATE_FILAMENT	214	75		
GOCC_NEUROFILAMENT	9		Rejected!	
GOCC_ACTIN_FILAMENT	105	95		
GOCC_ARP2_3_PROTEIN_COMPLEX	9		Rejected!	
GOCC_SODIUM_POTASSIUM_EXCHANGING_ATPASE_COMPLEX	12		Rejected!	
GOCC_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX	55	43		
GOCC_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	16		Rejected!	
GOCC_CAVEOLA	84	65		
GOCC_MICROVILLUS	94	71		
GOCC_BRUSH_BORDER	105	92		
GOCC_CLATHRIN_COATED_PIT	73	66		
GOCC_CELL_CELL_JUNCTION	510	417		
GOCC_ADHERENS_JUNCTION	185	157		
GOCC_ZONULA_ADHERENS	8		Rejected!	
GOCC_FASCIA_ADHERENS	9		Rejected!	
GOCC_GAP_JUNCTION	32	20		
GOCC_CONNEXIN_COMPLEX	21		Rejected!	
GOCC_CILIUM	736		Rejected!	
GOCC_AXONEME	157	129		
GOCC_CELL_CORTEX	302	253		
GOCC_PHOSPHATIDYLINOSITOL_3_KINASE_COMPLEX	29	25		
GOCC_MITOCHONDRIAL_ALPHA_KETOGLUTARATE_DEHYDROGENASE_COMPLEX	6		Rejected!	
GOCC_CAMP_DEPENDENT_PROTEIN_KINASE_COMPLEX	7		Rejected!	
GOCC_CALCIUM_AND_CALMODULIN_DEPENDENT_PROTEIN_KINASE_COMPLEX	5		Rejected!	
GOCC_CALCINEURIN_COMPLEX	6		Rejected!	
GOCC_PHOSPHORYLASE_KINASE_COMPLEX	5		Rejected!	
GOCC_MITOCHONDRIAL_PYRUVATE_DEHYDROGENASE_COMPLEX	8		Rejected!	
GOCC_TRANSCRIPTION_ELONGATION_FACTOR_COMPLEX	47	45		
GOCC_CYCLIN_CDK_POSITIVE_TRANSCRIPTION_ELONGATION_FACTOR_COMPLEX	6		Rejected!	
GOCC_SPECTRIN	9		Rejected!	
GOCC_COP9_SIGNALOSOME	17	15		
GOCC_OLIGOSACCHARYLTRANSFERASE_COMPLEX	14		Rejected!	
